raceId,driverId,constructorId,grid,position,laps,seconds,fastestLapSpeed,date,circuitId,Length,Turns,Constructor Experience,Driver Experience,Driver Age,Driver Wins,Constructor Wins,Driver Constructor Experience,DNF Score,prev_position,podium
1074,1,131,5,3,57,5863.259,202.469,2022-03-20,3,5.412,15,518,289,37,103,145.0,179,0.82,3.0,3
1075,1,131,15,10,50,5133.241,239.001,2022-03-27,77,6.174,27,520,290,37,103,145.0,180,0.82,10.0,0
1076,1,131,5,4,58,5295.091,232.039,2022-04-10,1,5.278,14,522,291,37,103,145.0,181,0.83,4.0,0
1077,1,131,14,13,62,0.0,217.054,2022-04-24,21,4.909,19,524,292,37,103,145.0,182,0.82,13.0,0
1078,1,131,6,6,57,5685.626,209.629,2022-05-08,79,3.363,19,526,293,37,103,145.0,183,0.83,6.0,0
1079,1,131,6,5,66,5895.009,199.755,2022-05-22,4,4.657,14,528,294,37,103,145.0,184,0.83,5.0,0
1080,1,131,8,8,64,7040.653,155.605,2022-05-29,6,3.337,19,530,295,37,103,145.0,185,0.83,8.0,0
1081,1,131,7,4,51,5717.62,201.887,2022-06-12,73,6.003,20,532,296,37,103,145.0,186,0.83,4.0,0
1082,1,131,4,3,70,5788.763,206.12,2022-06-19,7,4.361,14,534,297,37,103,145.0,187,0.83,3.0,3
1083,1,131,5,3,52,8276.536,234.312,2022-07-03,9,5.891,18,536,298,37,103,145.0,188,0.83,3.0,3
1084,1,131,8,3,71,5105.529,225.286,2022-07-10,70,4.318,10,538,299,37,103,145.0,189,0.83,3.0,3
1085,1,131,4,2,53,5412.699,215.333,2022-07-24,34,5.842,15,540,300,37,103,145.0,190,0.83,2.0,2
1086,1,131,7,2,70,5983.746,193.787,2022-07-31,11,4.381,14,542,301,37,103,145.0,191,0.83,2.0,2
1088,1,131,4,4,72,5815.789,207.604,2022-09-04,39,4.259,14,546,303,37,103,145.0,193,0.83,4.0,0
1089,1,131,19,5,53,4832.891,246.995,2022-09-11,14,5.793,11,548,304,37,103,145.0,194,0.83,5.0,0
1091,1,131,3,9,59,7401.753,164.766,2022-10-02,15,4.94,19,550,305,37,103,145.0,195,0.83,9.0,0
1092,1,131,6,5,28,10944.33,198.097,2022-10-09,22,5.807,18,552,306,37,103,145.0,196,0.83,5.0,0
1093,1,131,3,2,56,6136.71,198.805,2022-10-23,69,3.426,20,554,307,37,103,145.0,197,0.83,2.0,2
